"","reason","nsnp"
"1","Abdominal aortic aneurysm (NA)",4
"2","Acenocoumarol maintenance dosage (NA)",2
"3","Acne (severe) (fixed effect model) (NA)",2
"4","Acne (severe) (NA)",3
"5","Activated partial thromboplastin time (unit increase)",8
"6","Acute lymphoblastic leukemia (adolescents and young adults) (NA)",1
"7","Acute lymphoblastic leukemia (B-cell precursor) (NA)",5
"8","Acute lymphoblastic leukemia (childhood) (ETV6-RUNX1 positive) (NA)",1
"9","Acute lymphoblastic leukemia (childhood) (ETV6-RUNX1 positive, Northern European) (NA)",2
"10","Acute lymphoblastic leukemia (childhood) (NA)",11
"11","ADAMTS13 activity (Conditional on rs41314453 and rs10456544) (unit increase)",1
"12","ADAMTS13 activity (unit increase)",2
"13","Addiction (NR unit increase) (NR unit increase)",1
"14","Adiponectin levels (log(ug/ml) increase) (log(ug/ml) increase)",1
"15","Adiponectin levels (NA)",1
"16","Adiponectin levels (ug/ml increase) (ug/ml increase)",4
"17","Adiponectin levels (unit increase) (unit increase)",20
"18","Adiposity (% increase) (% increase)",2
"19","Adiposity (z-score unit increase) (WC) (z-score unit increase)",1
"20","Adiposity (z-score unit increase) (WHR in women) (z-score unit increase)",1
"21","Adolescent idiopathic scoliosis (NA)",1
"22","Adolescent idiopathic scoliosis (severe) (NA)",1
"23","Adverse response to chemotherapy in breast cancer (alopecia) (Recessive) (NA)",2
"24","Age-related macular degeneration (CNV) (NA)",6
"25","Age-related macular degeneration (CNV vs. GA) (NA)",1
"26","Age-related macular degeneration (EA) (NA)",1
"27","Age-related macular degeneration (extreme sampling) (NA)",2
"28","Age-related macular degeneration (GA) (NA)",4
"29","Age-related macular degeneration (NA)",42
"30","Age-related macular degeneration (wet) (NA)",1
"31","Age-related nuclear cataracts (Random effect) (unit increase)",2
"32","Aging (facial) (NA)",1
"33","Aging (NA)",1
"34","Aging traits (age at natural menopause) (NA)",1
"35","AIDS progression (NA)",2
"36","Airflow obstruction (Smoker) (NA)",1
"37","Airflow obstruction (Smokers) (NA)",1
"38","Airway responsiveness in chronic obstructive pulmonary disease (unit increase) (Continous PC20) (unit increase)",1
"39","Alcohol and nictotine co-dependence (Combined, Australian replication) (NA)",1
"40","Alcohol and nictotine co-dependence (NA)",1
"41","Alcohol consumption (maxi-drinks) (unit increase)",1
"42","Alcohol consumption (NA)",1
"43","Alcohol consumption (transferrin glycosylation) (CDT concentration) (unit increase)",2
"44","Alcohol consumption (transferrin glycosylation) (CDT percent) (unit increase)",2
"45","Alcohol consumption (transferrin glycosylation) (Total transferrin) (unit increase)",2
"46","Alcohol consumption (unit increase) (quantile transformation) (unit increase)",1
"47","Alcohol consumption (unit increase) (unit increase)",4
"48","Alcohol dependence (age at onset) (NA)",3
"49","Alcohol dependence (NA)",4
"50","Allergic rhinitis (Latino) (NA)",3
"51","Allergic rhinitis (NA)",2
"52","Allergic sensitization (NA)",10
"53","Alopecia areata (NA)",6
"54","Alzheimer's disease (age of onset) (unit increase)",1
"55","Alzheimer's disease biomarkers (Cortical Ab) (NA)",5
"56","Alzheimer's disease biomarkers (unit increase) (ptau) (unit increase)",3
"57","Alzheimer's disease biomarkers (unit increase) (tau) (unit increase)",1
"58","Alzheimer's disease (cognitive decline) (unit increase)",13
"59","Alzheimer's disease in APOE e4+ carriers (NA)",2
"60","Alzheimer's disease (late onset) (Japanese) (NA)",1
"61","Alzheimer's disease (late onset) (NA)",34
"62","Alzheimer's disease (NA)",16
"63","Amyloid A serum levels (unit increase)",4
"64","Amyotrophic lateral sclerosis (NA)",7
"65","Amyotrophic lateral sclerosis (sporadic) (NA)",11
"66","Amyotrophic lateral sclerosis (years increase) (survival) (years increase)",2
"67","Androgen levels (DHT levels) (unit increase)",1
"68","Androgen levels (serum testosterone) (unit increase)",3
"69","Anger (Temperament) (unit increase)",1
"70","Angiotensin-converting enzyme activity (% variance)",2
"71","Ankle-brachial index (unit increase)",1
"72","Ankylosing spondylitis (less than) (NA)",1
"73","Ankylosing spondylitis (NA)",13
"74","Anterior chamber depth (unit increase)",1
"75","Anthropometric traits in newborns (Sum of Skinfolds, Model 2) (unit increase)",1
"76","Antibody status in Tripanosoma cruzi seropositivity (NA)",1
"77","Anticoagulant levels (SD increase) (PC) (SD increase)",1
"78","Antineutrophil cytoplasmic antibody-associated vasculitis (NA)",9
"79","Antinuclear antibody levels (unit increase)",1
"80","Antipsychotic drug-induced weight gain (NA)",1
"81","Aortic root size (cm increase)",5
"82","Aortic stiffness (unit increase)",1
"83","Aortic-valve calcification (NA)",1
"84","Apolipoprotein Levels (APOA2) (unit increase)",1
"85","Apolipoprotein Levels (APOB) (unit increase)",1
"86","Arsenic metabolism (DMA%) (NA)",1
"87","Arsenic metabolism (MMA%) (NA)",1
"88","Arthritis (juvenile idiopathic) (NA)",1
"89","Aspartate aminotransferase (NA)",1
"90","Aspirin hydrolysis (plasma) (NA)",1
"91","Asthma (Adult) (NA)",1
"92","Asthma and hay fever (NA)",10
"93","Asthma (childhood onset) (NA)",6
"94","Asthma (childhood onset) (unit increase) (unit increase)",2
"95","Asthma (corticosteroid response) (unit increase)",1
"96","Asthma (NA)",33
"97","Asymmetrical dimethylarginine levels (unit increase)",2
"98","Atopic dermatitis (NA)",21
"99","Atopic dermatitis (unit increase) (unit increase)",1
"100","Atrial fibrillation/atrial flutter (NA)",2
"101","Atrial fibrillation (NA)",14
"102","Attention deficit hyperactivity disorder (NA)",3
"103","Autism (NA)",3
"104","Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined) (5 degree of freedom test) (NA)",3
"105","Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined) (Modelling analysis) (NA)",10
"106","Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined) (NA)",3
"107","Autism (Str) (NA)",1
"108","Autoimmune hepatitis type-1 (NA)",1
"109","Axial length (unit increase)",5
"110","Barrett's esophagus (NA)",2
"111","Basal cell carcinoma (NA)",17
"112","B cell non-Hodgkin lymphoma (NA)",1
"113","Behcet's disease (NA)",13
"114","Behcet's disease (Turkish cases with Uveitis - Recessive Model) (NA)",1
"115","Beta-2 microglubulin plasma levels (unit increase)",7
"116","Beta thalassemia/hemoglobin E disease (NA)",3
"117","Beta-trace protein levels (unit increase)",1
"118","Biliary atresia (NA)",1
"119","Bilirubin levels (bilirubin level increase) (bilirubin level increase)",4
"120","Bilirubin levels (bilirubin level increase) \(Conditional on rs11891311\) (bilirubin level increase)",1
"121","Bilirubin levels (mg/dL increase) (mg/dL increase)",1
"122","Bilirubin levels (s.d. increase) (s.d. increase)",3
"123","Bilirubin levels (umol/l increase in log(tbil) (umol/l increase in log(tbil)",2
"124","Bilirubin levels (unit increase) (Direct bilirubin) (unit increase)",1
"125","Bilirubin levels (unit increase) (Total bilirubin) (unit increase)",1
"126","Biochemical measures (umol/l increase) (umol/l increase)",1
"127","Biomedical quantitative traits (BD-RT) (NA)",1
"128","Biomedical quantitative traits (beats per minute increase) (beats per minute increase)",2
"129","Biomedical quantitative traits (increase) (increase)",1
"130","Bipolar disorder (addtive) (NA)",1
"131","Bipolar disorder and schizophrenia (NA)",2
"132","Bipolar disorder (body mass index interaction) (NA)",3
"133","Bipolar disorder (Latent Class 1) (NA)",1
"134","Bipolar disorder (Latent Class 2) (NA)",1
"135","Bipolar disorder (NA)",15
"136","Bipolar disorder or major depressive disorder (combined) (NA)",1
"137","Bipolar disorder (recessive) (NA)",1
"138","Birdshot chorioretinopathy (NA)",1
"139","Birth length (unit increase)",1
"140","Birth weight (gram increase) (gram increase)",6
"141","Birth weight (unit increase) (unit increase)",1
"142","Bitter taste perception (Caffeine) (unit increase)",1
"143","Bitter taste perception (PROP) (unit increase)",1
"144","Bitter taste perception (Quinine) (unit increase)",1
"145","Bitter taste response (NA)",1
"146","Black vs. blond hair color (hair color score increase)",5
"147","Black vs. red hair color (hair color score increase)",5
"148","Bladder cancer (Japanese) (NA)",1
"149","Bladder cancer (NA)",13
"150","Blond vs. brown hair color (NA)",5
"151","Blood and toenail selenium levels (NA)",12
"152","Blood metabolite levels (unit increase) (10-undecenoate (11:1n1)) (unit increase)",1
"153","Blood metabolite levels (unit increase) (1,5-anhydroglucitol (1,5-AG)) (unit increase)",2
"154","Blood metabolite levels (unit increase) (1-arachidonoylglycerophosphocholine) (unit increase)",1
"155","Blood metabolite levels (unit increase) (1-arachidonoylglycerophosphoethanolamine) (unit increase)",1
"156","Blood metabolite levels (unit increase) (1-arachidonoylglycerophosphoinositol) (unit increase)",1
"157","Blood metabolite levels (unit increase) (1-linoleoylglycerol (1-monolinolein)) (unit increase)",1
"158","Blood metabolite levels (unit increase) (1-methylurate) (unit increase)",1
"159","Blood metabolite levels (unit increase) (1-methylxanthine) (unit increase)",1
"160","Blood metabolite levels (unit increase) (1-palmitoylglycerophosphoethanolamine) (unit increase)",2
"161","Blood metabolite levels (unit increase) (1-stearoylglycerophosphoethanolamine) (unit increase)",1
"162","Blood metabolite levels (unit increase) (2-aminobutyrate) (unit increase)",2
"163","Blood metabolite levels (unit increase) (2-hydroxyisobutyrate) (unit increase)",1
"164","Blood metabolite levels (unit increase) (3-(4-hydroxyphenyl)lactate) (unit increase)",1
"165","Blood metabolite levels (unit increase) (3-dehydrocarnitine) (unit increase)",2
"166","Blood metabolite levels (unit increase) (3-phenylpropionate (hydrocinnamate)) (unit increase)",1
"167","Blood metabolite levels (unit increase) (4-acetamidobutanoate) (unit increase)",1
"168","Blood metabolite levels (unit increase) (4-androsten-3beta,17beta-diol disulfate 1) (unit increase)",1
"169","Blood metabolite levels (unit increase) (4-androsten-3beta,17beta-diol disulfate 2) (unit increase)",1
"170","Blood metabolite levels (unit increase) (5alpha-androstan-3beta,17beta-diol disulfate) (unit increase)",1
"171","Blood metabolite levels (unit increase) (5-oxoproline) (unit increase)",1
"172","Blood metabolite levels (unit increase) (acetylcarnitine) (unit increase)",2
"173","Blood metabolite levels (unit increase) (ADpSGEGDFXAEGGGVR) (unit increase)",2
"174","Blood metabolite levels (unit increase) (adrenate (22:4n6)) (unit increase)",1
"175","Blood metabolite levels (unit increase) (alpha-hydroxyisovalerate) (unit increase)",2
"176","Blood metabolite levels (unit increase) (androsterone sulfate) (unit increase)",3
"177","Blood metabolite levels (unit increase) (arachidonate (20:4n6)) (unit increase)",1
"178","Blood metabolite levels (unit increase) (asparagine) (unit increase)",1
"179","Blood metabolite levels (unit increase) (betaine) (unit increase)",3
"180","Blood metabolite levels (unit increase) (biliverdin) (unit increase)",1
"181","Blood metabolite levels (unit increase) (bradykinin, des-arg(9)) (unit increase)",2
"182","Blood metabolite levels (unit increase) (butyrylcarnitine) (unit increase)",2
"183","Blood metabolite levels (unit increase) (caffeine) (unit increase)",1
"184","Blood metabolite levels (unit increase) (carnitine) (unit increase)",4
"185","Blood metabolite levels (unit increase) (citrate) (unit increase)",3
"186","Blood metabolite levels (unit increase) (citrulline) (unit increase)",1
"187","Blood metabolite levels (unit increase) (cysteine-glutathione disulfide) (unit increase)",1
"188","Blood metabolite levels (unit increase) (decanoylcarnitine) (unit increase)",1
"189","Blood metabolite levels (unit increase) (dihomo-linolenate (20:3n3 or n6)) (unit increase)",2
"190","Blood metabolite levels (unit increase) (docosapentaenoate (n3 DPA; 22:5n3)) (unit increase)",1
"191","Blood metabolite levels (unit increase) (eicosapentaenoate (EPA; 20:5n3)) (unit increase)",1
"192","Blood metabolite levels (unit increase) (epiandrosterone sulfate) (unit increase)",1
"193","Blood metabolite levels (unit increase) (erythritol) (unit increase)",2
"194","Blood metabolite levels (unit increase) (erythronate) (unit increase)",1
"195","Blood metabolite levels (unit increase) (gamma-glutamylglutamine) (unit increase)",1
"196","Blood metabolite levels (unit increase) (glutaroyl carnitine) (unit increase)",5
"197","Blood metabolite levels (unit increase) (glycine) (unit increase)",1
"198","Blood metabolite levels (unit increase) (hexanoylcarnitine) (unit increase)",2
"199","Blood metabolite levels (unit increase) (histidine) (unit increase)",1
"200","Blood metabolite levels (unit increase) (homocitrulline) (unit increase)",1
"201","Blood metabolite levels (unit increase) (HWESASXX) (unit increase)",1
"202","Blood metabolite levels (unit increase) (hydroxyisovaleroyl carnitine) (unit increase)",1
